TEAM_ABBREVIATION,eFG,TOV_pct,ORB_rate,FT_rate,POSS,off_rtg,fg3a_rate
ATL,0.5625133115471757,0.14302074526846736,0.2375408057641828,0.24628363002842368,105.63542857142858,112.92541671753003,0.42651411633824
BKN,0.5343942725802974,0.157780989748973,0.27109612488648194,0.2915562682528288,100.39354838709677,108.77682763832925,0.48548241226569216
BOS,0.561640736816894,0.12310023936229611,0.27980401103925207,0.22129340426024902,99.15151515151516,118.13000113997141,0.47407768585527016
CHA,0.5409534443530695,0.1515492616051295,0.2670477604589052,0.2654161393202221,103.75393939393939,111.69320876211249,0.4592443002619279
CHI,0.5513779758190265,0.1409190245018952,0.23203343223811487,0.2627450531640232,105.61212121212121,112.3445003937371,0.425103838544495
CLE,0.5468687731623597,0.13327156253583655,0.2696573572257808,0.2564469071081145,104.832,114.06672545473977,0.4651829221204357
DAL,0.5286903198545804,0.14454999467520932,0.22352021992386756,0.28327969739008857,105.78971428571428,107.49271684192009,0.3599064275350776
DEN,0.5914099727818108,0.13024480221374618,0.23014615883786388,0.29250991658271747,102.43878787878788,122.30078789204121,0.39204088349538463
DET,0.5466942216638494,0.15129002847147066,0.2886815186122399,0.3180090069584263,104.56705882352942,113.80835345832554,0.34852817038518596
GSW,0.547686708351778,0.15675634216966938,0.2603371667115155,0.2680784031792663,103.17764705882352,112.02670872709986,0.4971209133558625
HOU,0.5635940000709574,0.16021891735332314,0.32844746879988274,0.2798880094616709,101.35483870967742,119.15180896758065,0.33341670097293835
IND,0.5047976781849363,0.13527560809295014,0.2655411822038267,0.28789121521765765,103.57882352941176,106.38419003860838,0.40949846881886603
LAC,0.5536626099814941,0.15363815962890975,0.23914600170732714,0.2957539974721623,99.4569696969697,113.19352580731373,0.43963753769936786
LAL,0.5699653898317676,0.1532062212759595,0.2481649794966976,0.3375520933294729,101.1083870967742,115.61906246748885,0.40748172907926106
MEM,0.5312510915932551,0.14418056269740298,0.24491948626918253,0.27283532438773694,105.40969696969697,109.99668734729981,0.4172743580340076
MIA,0.542115583045986,0.13152314500296725,0.2385558263971468,0.2690704268647166,107.14470588235294,112.65579215290802,0.3773032549765714
MIL,0.5730406726458889,0.1484967956096839,0.20943432134947015,0.24596957711800696,101.22470588235294,111.69899396558148,0.4377346045488754
MIN,0.5561193557905092,0.1378943856936328,0.25177285452708525,0.306651828552357,103.44588235294117,114.87539035365927,0.4288061299603463
NOP,0.5190905873949231,0.13711624005761072,0.2911432594530848,0.29026895221569077,104.36914285714286,110.58666709174547,0.34613803144816735
NYK,0.5636576840130798,0.13270536287142973,0.288135877012674,0.2577078925802922,101.25696969696969,119.74577136702932,0.43910698231918754
OKC,0.5723866459983347,0.12232288644913959,0.20711948260756693,0.2670152876739783,103.67176470588235,117.93703886099611,0.41413553754005394
ORL,0.5285169462618035,0.1347161389420275,0.2684327289327242,0.3260513538908261,103.61411764705883,112.65371772422293,0.36822701313811745
PHI,0.5239529169762235,0.1359123667895265,0.2795123883382195,0.2827303407500909,104.30625,111.7791364380882,0.4122664059640984
PHX,0.5444253560292395,0.15311343127752114,0.30175043829352377,0.23668601913504775,102.39393939393939,112.50966594494191,0.4311285662620616
POR,0.523334371767282,0.16467132175882965,0.30930850093632367,0.307478865415275,106.17176470588235,109.4906352487212,0.4528850585828877
SAC,0.5213852586317278,0.1374877173087266,0.24988807750314443,0.2592124144007525,103.64235294117647,106.98979166624594,0.3431070343537915
SAS,0.5596770244846423,0.13911296898690326,0.2541901458994507,0.3032144726018113,102.89939393939393,116.69493760813356,0.41744239752433704
TOR,0.5396720485547345,0.1398088268729444,0.25705620579184124,0.25000200170662884,102.46285714285713,111.01529993214712,0.3775001298505749
UTA,0.538316441593593,0.14943123799522692,0.2676667375155923,0.3122374245420067,106.48484848484848,112.42050348186454,0.4339843912456394
WAS,0.5340510998525705,0.1466427617575804,0.2541022607836486,0.24634191262592442,104.0025,108.83517576717317,0.4015956483557992
